移动央视,#genre#
CCTV-1,http://223.110.241.139:6610/gitv/live1/G_CCTV-1-HQ/G_CCTV-1-HQ/
CCTV-2高清,http://223.110.241.139:6610/gitv/live1/G_CCTV-2-HD/G_CCTV-2-HD/
CCTV-3超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-3-HQ/G_CCTV-3-HQ/
CCTV-4超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-4-HQ/G_CCTV-4-HQ/
CCTV-5超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ/
CCTV-5+超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-5PLUS-HQ/G_CCTV-5PLUS-HQ/
CCTV-6超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-6-HQ/G_CCTV-6-HQ/
CCTV-7超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-7-HQ/G_CCTV-7-HQ/
CCTV-8超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-8-HQ/G_CCTV-8-HQ/
CCTV-9超清,http://ott.mobaibox.com/PLTV/3/224/3221228758/index.m3u8

CCTV-10超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-10-HQ/G_CCTV-10-HQ/
CCTV-11超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-11-HQ/G_CCTV-11-HQ/
cctv12,http://ott.mobaibox.com/PLTV/3/224/3221228657/index.m3u8

CCTV-13超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ/
CCTV14,http://ott.mobaibox.com/PLTV/1/224/3221227656/index.m3u8
CCTV-15超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-15/G_CCTV-15/
CCTV-NEWS,http://223.110.241.139:6610/gitv/live1/G_CCTV-NEWS/G_CCTV-NEWS/
香港频道,#genre#
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb23]:80/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb18]:80/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb23]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
香港卫视,http://ott.mobaibox.com/PLTV/3/224/3221228530/index.m3u8

移动卫视,#genre#
浙江卫视,http://223.110.241.139:6610/gitv/live1/G_ZHEJIANG/G_ZHEJIANG/
江苏卫视,http://223.110.241.139:6610/gitv/live1/JSWS-HD/JSWS-HD/
湖南卫视,http://223.110.241.139:6610/gitv/live1/G_HUNAN/G_HUNAN/
安徽卫视,http://223.110.241.139:6610/gitv/live1/AHWS/AHWS/
辽宁卫视,http://223.110.241.139:6610/gitv/live1/LNWS/LNWS/
山东卫视,http://223.110.241.139:6610/gitv/live1/SDWS/SDWS/
广西卫视,http://223.110.241.139:6610/gitv/live1/GXWS/GXWS/
旅游卫视,http://223.110.241.139:6610/gitv/live1/LYWS/LYWS/
重庆卫视,http://223.110.241.139:6610/gitv/live1/G_CHONGQING/G_CHONGQING/
四川卫视,http://223.110.241.139:6610/gitv/live1/SCWS/SCWS/
河南卫视,http://223.110.241.139:6610/gitv/live1/HENAN/HENAN/
东南卫视,http://223.110.241.139:6610/gitv/live1/DNWS/DNWS/
天津卫视,http://223.110.241.139:6610/gitv/live1/TJWS/TJWS/
江西卫视,http://223.110.241.139:6610/gitv/live1/JXWS/JXWS/
湖北卫视,http://223.110.241.139:6610/gitv/live1/G_HUBEI/G_HUBEI/
吉林卫视,http://223.110.241.139:6610/gitv/live1/G_JILIN/G_JILIN/
山西卫视,http://223.110.241.139:6610/gitv/live1/SXWS/SXWS/
贵州卫视,http://223.110.241.139:6610/gitv/live1/G_GUIZHOU/G_GUIZHOU/
青海卫视,http://223.110.241.139:6610/gitv/live1/G_QINGHAI/G_QINGHAI/
内蒙古卫视,http://223.110.241.139:6610/gitv/live1/G_NEIMENGGU/G_NEIMENGGU/
云南卫视,http://223.110.241.139:6610/gitv/live1/G_YUNNAN/G_YUNNAN/
河北卫视,http://223.110.241.139:6610/gitv/live1/G_HEBEI/G_HEBEI/
宁夏卫视,http://223.110.241.139:6610/gitv/live1/G_NINGXIA/G_NINGXIA/
新疆卫视,http://223.110.241.139:6610/gitv/live1/G_XINJIANG/G_XINJIANG/
甘肃卫视,http://223.110.241.139:6610/gitv/live1/G_GANSU/G_GANSU/
西藏卫视,http://223.110.241.139:6610/gitv/live1/G_XIZANG/G_XIZANG/
优漫卡通,http://223.110.241.139:6610/gitv/live1/G_YOUMAN/G_YOUMAN/
东方卫视,http://223.110.241.139:6610/gitv/live1/G_DONGFANG/G_DONGFANG/
北京卫视,http://223.110.241.139:6610/gitv/live1/G_BEIJING/G_BEIJING/
广东卫视,http://223.110.241.139:6610/gitv/live1/G_GUANGDONG/G_GUANGDONG/
深圳卫视,http://223.110.241.139:6610/gitv/live1/G_SHENZHEN/G_SHENZHEN/
黑龙江卫视,http://223.110.241.139:6610/gitv/live1/G_HEILONGJIANG/G_HEILONGJIANG/
兵团卫视,http://223.110.241.139:6610/gitv/live1/G_BINGTUAN/G_BINGTUAN/
陕西卫视,http://223.110.241.139:6610/gitv/live1/G_SHANXI/G_SHANXI/
南方卫视（广东）,http://223.110.241.139:6610/gitv/live1/G_NANFANG/G_NANFANG/
厦门卫视,http://223.110.241.139:6610/gitv/live1/G_XIAMEN/G_XIAMEN/
山东卫视超清,http://223.110.241.139:6610/gitv/live1/G_SHANDONG-HQ/G_SHANDONG-HQ/
延边卫视,http://223.110.241.139:6610/gitv/live1/G_YANBIAN/G_YANBIAN/
嘉佳卡通,http://223.110.241.139:6610/gitv/live1/G_JIAJIA/G_JIAJIA/
山东教育电视台,http://223.110.241.139:6610/gitv/live1/G_SDETV/G_SDETV/
安多卫视,http://223.110.241.139:6610/gitv/live1/G_ANDUO/G_ANDUO/
考试在线,http://223.110.241.139:6610/gitv/live1/G_KAOSHIZX/G_KAOSHIZX/
农林卫视,http://223.110.241.139:6610/gitv/live1/G_NONGLIN/G_NONGLIN/
置业频道,http://223.110.241.139:6610/gitv/live1/G_ZHIYE/G_ZHIYE/
康巴卫视,http://223.110.241.139:6610/gitv/live1/G_KANGBA/G_KANGBA/
京视剧场,http://223.110.241.139:6610/gitv/live1/G_JINGJU/G_JINGJU/
新娱乐,http://223.110.241.139:6610/gitv/live1/G_XINYULE/G_XINYULE/
家庭理财,http://223.110.241.139:6610/gitv/live1/G_JIATINGLC/G_JIATINGLC/
